"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_expert_elicitation_task", "variance_expert_elicitation_task", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"6MWT", 0.01001001001001, -0.96996996996997, 9.1680524605979e-111, 0.433382295, 0.0189523150981809, 1.32202363806278e-110, "outside CI", -0.268064597507936, 9.08105866210244e-300, 9.1064867276368e-300, "outside CI", 0.0200070434215421, 0.13421053, 1.36692209889046e-14, 7.48403389316821e-14, "outside CI", 8.13750752798819e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 2.97871039793173e-122, 7.14010369298971e-122, "outside CI", 9.43951063221957e-123, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 6.32255170966574e-210, 8.39574565068827e-210, "outside CI", 4.52126351599596e-210, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.011011011011011, -0.966966966966967, 2.97906711408085e-110, 0.433382295, 0.0189523150981809, 4.30109075214363e-110, "outside CI", -0.268064597507936, 3.17132122850579e-297, 3.18042771523342e-297, "outside CI", 0.0200070434215421, 0.13421053, 1.61181079520488e-14, 9.09584468837309e-14, "outside CI", 9.62357439709087e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 5.09494196367859e-122, 1.22350456566683e-121, "outside CI", 1.61614483237045e-122, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 2.55348993965074e-209, 3.39306450471956e-209, "outside CI", 1.82867172444917e-209, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.012012012012012, -0.963963963963964, 9.65321479820006e-110, 0.433382295, 0.0189523150981809, 1.39543055503437e-109, "outside CI", -0.268064597507936, 1.08004127569233e-294, 1.08322170340756e-294, "outside CI", 0.0200070434215421, 0.13421053, 1.89962083365273e-14, 1.09954655220258e-13, "outside CI", 1.13754245342791e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 8.71011802002735e-122, 2.09451636766957e-121, "outside CI", 2.76557422547962e-122, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 1.02917401356876e-208, 1.36848046404072e-208, "outside CI", 7.38117503793278e-209, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.013013013013013, -0.960960960960961, 3.11926403329941e-109, 0.433382295, 0.0189523150981809, 4.51469458833378e-109, "outside CI", -0.268064597507936, 3.58704509524053e-292, 3.59787731227461e-292, "outside CI", 0.0200070434215421, 0.13421053, 2.23770254682227e-14, 1.32331680688481e-13, "outside CI", 1.34395596796035e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 1.48827325152251e-121, 3.58278961919208e-121, "outside CI", 4.7300377208065e-122, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 4.13958087685527e-208, 5.50806134089599e-208, "outside CI", 2.97323397365629e-208, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.014014014014014, -0.957957957957958, 1.00512665504131e-108, 0.433382295, 0.0189523150981809, 1.45659611387469e-108, "outside CI", -0.268064597507936, 1.1617954862703e-289, 1.16539336358258e-289, "outside CI", 0.0200070434215421, 0.13421053, 2.63463439224632e-14, 1.58678024610944e-13, "outside CI", 1.58704305137148e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 2.54164652343321e-121, 6.12443614262528e-121, "outside CI", 8.0857094977224e-122, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 1.6616395923505e-207, 2.2124457264401e-207, "outside CI", 1.19521627790296e-207, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.015015015015015, -0.954954954954955, 3.22981708738869e-108, 0.433382295, 0.0189523150981809, 4.68641320126339e-108, "outside CI", -0.268064597507936, 3.66960144473812e-287, 3.68125537837395e-287, "outside CI", 0.0200070434215421, 0.13421053, 3.10042282714071e-14, 1.89682252882351e-13, "outside CI", 1.87317622698226e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 4.33831882044e-121, 1.04627549630653e-120, "outside CI", 1.38148415912741e-121, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 6.65625867139993e-207, 8.86870439784003e-207, "outside CI", 4.79488002532399e-207, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.016016016016016, -0.951951951951952, 1.03495996499168e-107, 0.433382295, 0.0189523150981809, 1.50360128511802e-107, "outside CI", -0.268064597507936, 1.13032797502828e-284, 1.13400923040665e-284, "outside CI", 0.0200070434215421, 0.13421053, 3.64673380679927e-14, 2.26149590950344e-13, "outside CI", 2.20980956553379e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 7.40119108045365e-121, 1.78639460435189e-120, "outside CI", 2.35910858562633e-121, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 2.66094837919899e-206, 3.54781881898299e-206, "outside CI", 1.91965341811369e-206, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.017017017017017, -0.948948948948949, 3.30717866835207e-107, 0.433382295, 0.0189523150981809, 4.81077995347009e-107, "outside CI", -0.268064597507936, 3.39536462360554e-282, 3.4067047159096e-282, "outside CI", 0.0200070434215421, 0.13421053, 4.28716075966627e-14, 2.69021198547007e-13, "outside CI", 2.60565770772912e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 1.26198910922937e-120, 3.04838371358126e-120, "outside CI", 4.02646751873901e-121, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 1.06158703952517e-205, 1.41636892142347e-205, "outside CI", 7.66975951068438e-206, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.018018018018018, -0.945945945945946, 1.05385352042393e-106, 0.433382295, 0.0189523150981809, 1.53493151577094e-106, "outside CI", -0.268064597507936, 9.94637267352025e-280, 9.98043972067935e-280, "outside CI", 0.0200070434215421, 0.13421053, 5.03753461249369e-14, 3.19396544671943e-13, "outside CI", 3.07090373707798e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 2.1507178307784e-120, 5.19910154435966e-120, "outside CI", 6.8687026634388e-121, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 4.22656610081249e-205, 5.64293502223596e-205, "outside CI", 3.0581198946013e-205, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
"6MWT", 0.019019019019019, -0.942942942942943, 3.34881632573932e-106, 0.433382295, 0.0189523150981809, 4.88374784151026e-106, "outside CI", -0.268064597507936, 2.84144595751665e-277, 2.85142639723733e-277, "outside CI", 0.0200070434215421, 0.13421053, 5.91628226246783e-14, 3.78559367296622e-13, "outside CI", 3.61744042056936e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 2.12680894698735, 0.131594725347858, 3.66340642485577e-120, 8.86250796921543e-120, "outside CI", 1.17111483457729e-120, 1.91035488571124, 2.34326300826345, 1.08377457394886, 0.0664448782663348, 1.67931676104679e-204, 2.24361026327039e-204, "outside CI", 1.21686139583855e-204, 0.974482474940135, 1.19306667295759, 0.0319509056966328, 0.0147462020699981, 0, 0, "outside CI", 0.00769556173803715, 0.0562062496552285
