"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Age", -0.41, "[-0.57;-0.25]", 0.31
"PerceivedExertion", -0.98, "[-1.52;-0.44]", 0.57
"SelfEfficacy", 0.84, "[0.61;1.06]", 0.37
