"Construct", "Expected value (log OR)", "95% CrI", "SD"
"Age", -0.41, "[-0.57;-0.25]", 0.31
"6MWT", 1.77, "[1;2.54]", 0.69
"LVEF", 0.16, "[-0.47;0.79]", 0.62
"PeakVO2", 1.54, "[-0.41;3.49]", 1.09
"proBNP", 1.44, "[-1.32;4.2]", 1.3
"Depression", -0.54, "[-0.71;-0.38]", 0.31
"SelfEfficacy", 0.84, "[0.61;1.06]", 0.37
"PhysicalFunctioning", 0.9, "[-0.06;1.86]", 0.76
