"Construct", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "SD"
"Age", 0.01, "[-0.4;0.42]", -0.41, "[-0.57;-0.25]", -0.29, "[-0.41;-0.18]", 0.26
"Comorbidity", 0.01, "[-0.41;0.43]", -0.94, "[-1.16;-0.72]", -0.62, "[-0.76;-0.48]", 0.29
"6MWT", 0.02, "[-0.2;0.24]", 1.77, "[1;2.54]", 0.41, "[0.24;0.58]", 0.32
"LVEF", 0.02, "[-0.2;0.24]", 0.16, "[-0.47;0.79]", 0.06, "[-0.11;0.22]", 0.32
