"Construct", "Variance_hyperprior", "Log_Odds_hyperprior", "Hyperprior_quantile_0.50", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood_qual_quantile_0.50", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95"
"Age", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, -0.410280838888763, -0.565857195430965, -0.254704482346561
"6MWT", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.77173021012617, 0.469981161956636, 1.77173021012617, 0.998679991282932, 2.54478042896941
"Depression2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.14, 0.0657973626739291, -0.14, -0.248227030638054, -0.0317729693619463
"PhysicalFunctioning2", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.187233957665843, 0.838916374092595, -0.187233957665843, -1.56712859830103, 1.19266068296934
"Ethnicity", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.316666666666667, 0.0657973626739291, 0.316666666666667, 0.208439636028613, 0.42489369730472
"BMI", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 0.87071085174472, 0.131594725347858, 0.87071085174472, 0.654256790468612, 1.08716491302083
"PositiveAttitude", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.01853801750108, 0.131594725347858, 1.01853801750108, 0.802083956224975, 1.23499207877719
"RenalFunction", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, 1.07, 0.0657973626739291, 1.07, 0.961772969361946, 1.17822703063805
"highproBNP", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.16, 0.0328986813369645, -1.16, -1.21411351531903, -1.10588648468097
"LAV", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.12, 0.0657973626739291, -1.12, -1.22822703063805, -1.01177296936195
"LVR", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.2, 0.0657973626739291, -0.2, -0.308227030638054, -0.0917729693619464
"Digoxin", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -1.06, 0.164493406684823, -1.06, -1.33056757659513, -0.789432423404866
"Doppler", 0.0189523150981809, -0.268064597507936, -0.268064597507936, -0.299238381736307, -0.236890813279567, -0.71, 0.0657973626739291, -0.71, -0.818227030638054, -0.601772969361946
