"Construct", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "SD"
"Age", 0.01, "[-0.4;0.42]", -0.41, "[-0.57;-0.25]", -0.29, "[-0.41;-0.18]", 0.26
"6MWT", 0.02, "[-0.2;0.24]", 1.77, "[1;2.54]", 0.41, "[0.24;0.58]", 0.32
"LVEF", 0.02, "[-0.2;0.24]", 0.16, "[-0.47;0.79]", 0.06, "[-0.11;0.22]", 0.32
"PhysicalFunctioning", 0.02, "[-0.2;0.24]", 0.9, "[-0.06;1.86]", 0.18, "[0.01;0.36]", 0.33
"SelfEfficacy", 0.06, "[-0.15;0.27]", 0.84, "[0.61;1.06]", 0.43, "[0.32;0.54]", 0.26
