"Construct", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "SD"
"Age", 0.01, "[-0.4;0.42]", -0.41, "[-0.57;-0.25]", -0.29, "[-0.41;-0.18]", 0.26
"6MWT", 0.02, "[-0.2;0.24]", 1.77, "[1;2.54]", 0.41, "[0.24;0.58]", 0.32
"PhysicalFunctioning2", 0.02, "[-0.2;0.24]", -0.19, "[-1.57;1.19]", -0.01, "[-0.2;0.18]", 0.34
"PositiveAttitude", 0.69, "[0.22;1.16]", 1.02, "[0.8;1.23]", 0.92, "[0.77;1.06]", 0.3
