"Construct", "Expected value (log OR)", "95% CrI", "SD"
"6MWT", 3.27, "[-1.11;7.65]", 1.63
"LVEF", 1.78, "[-1.2;4.76]", 1.35
"PeakVO2", 2.52, "[-1.05;6.09]", 1.47
"proBNP", 1.44, "[-1.32;4.2]", 1.3
"PhysicalFunctioning", 2.45, "[-1.07;5.97]", 1.46
