"Construct", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "Expected value (log OR)", "95% CrI", "SD"
"6MWT", 0.02, "[-0.2;0.24]", 3.27, "[-1.11;7.65]", 0.18, "[-0.03;0.39]", 0.36
"LVEF", 0.02, "[-0.2;0.24]", 1.78, "[-1.2;4.76]", 0.14, "[-0.06;0.35]", 0.35
"PhysicalFunctioning", 0.02, "[-0.2;0.24]", 2.45, "[-1.07;5.97]", 0.16, "[-0.04;0.37]", 0.36
